Пользователь;Дата;Статус;Баллы;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Отметьте слова, в которых пропущена буква «и»;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Впишите через запятую, без пробелов пропущенные буквы. Наде_вшийся, раска_вшийся, кле_вший, ла_вший;;;;Выпишите через запятую слова, имеющие слитное написание с НЕ или НИ. Ему (не)хватает опытности и (не)достаёт терпения.;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Определите слитное или раздельное написание союзов. Теплая небесная вода для растений то (же) самое, что для нас любовь.;;;;Определите слитное или раздельное написание союзов. Один только месяц все так (же) блистательно и чудно плыл в необъятных пустынях роскошного украинского неба . (Г.);;;;Выберите строки, в которых во всех словах пишется одинаковое количество Н.;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Определите слитное или раздельное написание союзов. Я пригласил вас, господа, с тем, что (бы) сообщить пренеприятное известие. (Г.);;;;Определите слитное или раздельное написание союзов. (От) того я присмирел, что я слышу топот дальний.;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Отметьте слова, в которых пропущена буква «ы»;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Выберите строки, в которых во всех словах пишется НН;;;;"Определите слитное или раздельное написание союзов. Бранил Гомера, Феокрита; за (то) читал Адама Смита.";;;;Выберите строку, в которой пропущена одна и та же буква;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Определите слитное или раздельное написание союзов. Мы выпили по стакану воды, при (чем) старик нам кланялся в пояс.;;;;Раскройте скобки, запишите верный вариант написания предлога. Что ты имеешь (в) виду, говоря об этом?;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Раскройте скобки, напишите верный вариант написания предлога. (В) продолжени.. ночи, предшествовавшей поединку, я не спал ни минуты.;;;;Выпишите через запятую, в порядке очередности слова, имеющие слитное написание с НЕ или НИ. (Не)скоро и как-то (не)чаянно сон овладел мною, и зато я заснул уже так крепко, что (ни)чего (не)слыхал.;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Определите слитное или раздельное написание союзов. Что (бы) ни говорил, что (бы) ни предлагал, давно известно и есть то самое нужное, что нужно.;;;;Определите ряд, в котором во всех словах пропущен Ъ;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите строку, в которой пропущена одна и та же буква;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Выберите правильный вариант написания Н и НН в суффиксах различных частей речи;;;;Выберите верный вариант слитного или раздельного написания НЕ с различными частями речи;;;;Раскройте скобки, напишите верный вариант написания предлога. (В) виду предстоящих расходов мы решили сэкономить на поездке;;;;Выберите строку, в которой пропущена одна и та же буква;;;
;;;;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ
20250801007;13.08.2025 10:44;Пройден;20 / 20 (100%);единственный выбор;lcnwu5wcgk;Непроходимые леса;Непроходимые леса;множественный выбор;lcnwu5wcgk;"пост_нфарктный; транс_орданский";"пост_нфарктный; транс_орданский";единственный выбор;lcnwu5wcgk;Не растворимый ни в какой жидкости;Не растворимый ни в какой жидкости;текстовый ввод;lcnwu5wcgk;Я,Я,И,Я;я,я,и,я;текстовый ввод;lcnwu5wcgk;НЕДОСТАЁТ;недостаёт, недостает;единственный выбор;lcnwu5wcgk;Экзамен не выучен;Экзамен не выучен;единственный выбор;lcnwu5wcgk;_доба, _гибать, бе_содержательный, _жечь;_доба, _гибать, бе_содержательный, _жечь;единственный выбор;lcnwu5wcgk;Провяленная рыба;Провяленная рыба;единственный выбор;lcnwu5wcgk;Не прочитанная мною книга;Не прочитанная мною книга;единственный выбор;lcnwu5wcgk;ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);ум_лять (о пощаде), обл_котиться, упл_тнить (сроки), укр_титель (тигров);единственный выбор;lcnwu5wcgk;раздельно;раздельно;единственный выбор;lcnwu5wcgk;раздельно;раздельно;множественный выбор;lcnwu5wcgk;"победа заслуже_а ими, беше_ым галопом; неквалифицирова_ый труд, неувере_о отвечать";"победа заслуже_а ими, беше_ым галопом; неквалифицирова_ый труд, неувере_о отвечать";единственный выбор;lcnwu5wcgk;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;пр_терпеть боль, правопр_емник, пр_бывать на отдыхе;единственный выбор;lcnwu5wcgk;слитно;слитно;единственный выбор;lcnwu5wcgk;слитно;слитно;единственный выбор;lcnwu5wcgk;Ни с чем не сравнимый;Ни с чем не сравнимый;единственный выбор;lcnwu5wcgk;Вяленая рыба;Вяленая рыба;единственный выбор;lcnwu5wcgk;Незлобный, но придирчивый;Незлобный, но придирчивый;множественный выбор;lcnwu5wcgk;"под_тожить; без_дейный; небез_звестный";"под_тожить; без_дейный; небез_звестный";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
