Пользователь;Дата;Статус;Баллы;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную падежную форму. Озабоченность (за безопасность) границ.;;;;Запишите числительное в скобках, употребив его в нужной падежной форме с предлогом. К (345) прибавить 157.;;;;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную падежную форму. Высказывается критика (о том), что мы делаем.;;;;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную предложно-падежную форму. Контролировать (за ходом) лечения.;;;;Впишите слово с пропущенным окончанием, верно определяя род имени существительного. Журнал «Тайм» опубликовал… интересную статью.;;;;Запишите числительное в скобках, употребив его в нужной падежной форме с предлогом. От (964) отнять 89.;;;;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную предложно-падежную форму. (Об этом) мы познакомим вас позже.;;;;Впишите слово с пропущенным окончанием, верно определяя род имени существительного. Колибри привлекл… внимание орнитологов.;;;;Запишите правильную форму множественного числа имени существительного. Важнейшие отделы и (сектора, секторы) института были реорганизованы.;;;;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную предложно-падежную форму. Факты говорят (за возможность) использования резервов.;;;;Выберите слово, позволяющее образовать форму женского рода при обозначении лиц по профессии, учёному или воинскому званию.;;;;Определите род аббревиатуры МВФ:;;;;Найдите предложение, в котором верно употреблён деепричастный оборот.;;;;Впишите слово с пропущенным окончанием, верно определяя род имени существительного. Автор рассказывал, как действовал… военно-промышленное лобби.;;;;Определите род аббревиатуры ЮНЕСКО:;;;;Запишите предложение с числительными, употребив их и существительные, обозначающие исчисляемые предметы, в нужной форме. Предложение принято 375 (голос) против 44 (голос).;;;;Определите род аббревиатуры ТЭЦ:;;;;Впишите слово с пропущенным окончанием, верно определяя род имени существительного. Избранное жюри просмотрел… всю программу.;;;;Выберите слово, позволяющее образовать форму мужского рода путём присоединения окончания при обозначении лиц по профессии, учёному или воинскому званию.;;;;Запишите правильную форму множественного числа имени существительного. Для проведения бесед и докладов были подобраны квалифицированные (лектора, лекторы).;;;;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную предложно-падежную форму. Уверенность каждого (за свой) завтрашний день.;;;;Найдите предложение, в котором верно употреблён деепричастный оборот.;;;;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную падежную форму. Магазин, ориентированный специально (для школьников).;;;;Запишите правильные формы множественного числа имён существительных через запятую. В доме отдыха оказались представители самых разных профессий: врачи, (учители / учителя), (бухгалтеры / бухгалтера), (инженеры / инженера), (кондукторы / кондуктора) железнодорожных поездов.;;;;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную предложно-падежную форму. Докладчик подчеркнул (о необходимости) строительства.;;;;Запишите числительное в скобках, употребив его в нужной падежной форме с предлогом. 10 сложить с (798).;;;;Запишите числительное вместе с предлогом и существительное, обозначающее исчисляемые предметы, в нужной форме. Деревня находится в 163 (километр) от города.;;;;Найдите предложение, содержащее ошибку в управлении при образовании ряда однородных членов предложения:;;;;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную предложно-падежную форму. Участвовать (на выборах).;;;;Найдите предложение, в котором верно употреблён деепричастный оборот.;;;;Запишите правильную форму множественного числа имени существительного. Многочисленные (прожектора, прожекторы) ярко освещали площади и улицы города.;;;;Впишите слово с пропущенным окончанием, верно определяя род имени существительного. Кофе был.. чуть теплый.;;;;Исправьте ошибки в употреблении падежных форм. Поставьте слово в скобках в нужную предложно-падежную форму. Решимость парламента свелась (в предоставлении) полномочий.;;;
;;;;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ;Тип;Результат;Полученный ответ;Правильный ответ
ab976c98-e4cb-4973-aa93-13f350827493;27.10.2025 12:18;Пройден;12 / 15 (80%);текстовый ввод;r1s987zw3e;о безопасности;безопасностью;текстовый ввод;lcnwu5wcgk;трёмстам сорока пяти;тремстам сорока пяти, К тремстам сорока пяти, трёмстам сорока пяти, К трёмстам сорока пяти;текстовый ввод;lcnwu5wcgk;того;того;текстовый ввод;lcnwu5wcgk;ход;ход;текстовый ввод;lcnwu5wcgk;опубликовал;опубликовал;текстовый ввод;lcnwu5wcgk;девятисот шестидесяти четырех;девятисот шестидесяти четырёх, От девятисот шестидесяти четырёх, девятисот шестидесяти четырех, От девятисот шестидесяти четырех;текстовый ввод;lcnwu5wcgk;с этим;с этим;текстовый ввод;lcnwu5wcgk;привлекла;привлекла;текстовый ввод;lcnwu5wcgk;секторы;секторы;текстовый ввод;lcnwu5wcgk;о возможности;о возможности;единственный выбор;lcnwu5wcgk;лаборант;лаборант;единственный выбор;lcnwu5wcgk;мужской род;мужской род;единственный выбор;r1s987zw3e;Глядя на то, что происходит сегодня, у меня руки развязаны.;Прочитав вторично рукопись, я думаю, она нуждается в серьёзной доработке.;текстовый ввод;lcnwu5wcgk;действовало;действовало;единственный выбор;r1s987zw3e;средний род;женский род;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20251022001;30.10.2025 09:21;Пройден;10 / 15 (66.7%);;;;;текстовый ввод;lcnwu5wcgk;трёмстам сорока пяти;тремстам сорока пяти, К тремстам сорока пяти, трёмстам сорока пяти, К трёмстам сорока пяти;;;;;текстовый ввод;lcnwu5wcgk;ход;ход;;;;;;;;;текстовый ввод;lcnwu5wcgk;с этим;с этим;текстовый ввод;r1s987zw3e;привлекли;привлекла;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;мужской род;мужской род;единственный выбор;r1s987zw3e;Объяснение этих явлений может быть найдено, взяв в качестве иллюстрации последние события.;Прочитав вторично рукопись, я думаю, она нуждается в серьёзной доработке.;текстовый ввод;lcnwu5wcgk;действовало;действовало;единственный выбор;lcnwu5wcgk;женский род;женский род;текстовый ввод;r1s987zw3e;тремястами семьюдесятью пятью голосами против сорока четырёх голосов;Предложение принято тремястами семьюдесятью пятью голосами против сорока четырех голосов., Предложение принято тремястами семьюдесятью пятью голосами против сорока четырёх голосов.;единственный выбор;lcnwu5wcgk;женский род;женский род;текстовый ввод;lcnwu5wcgk;просмотрело;просмотрело;единственный выбор;r1s987zw3e;сиделка;намотчица;текстовый ввод;lcnwu5wcgk;лекторы;лекторы;текстовый ввод;r1s987zw3e;в своём;в своем;единственный выбор;lcnwu5wcgk;Выяснив, что объём производства уменьшился, нужно ответить на вопрос о причине этого.;Выяснив, что объём производства уменьшился, нужно ответить на вопрос о причине этого.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20251024002;04.11.2025 18:36;Пройден;11 / 15 (73.3%);;;;;;;;;текстовый ввод;lcnwu5wcgk;того;того;;;;;;;;;;;;;текстовый ввод;lcnwu5wcgk;С этим;с этим;;;;;текстовый ввод;lcnwu5wcgk;секторы;секторы;текстовый ввод;lcnwu5wcgk;о возможности;о возможности;единственный выбор;lcnwu5wcgk;лаборант;лаборант;единственный выбор;lcnwu5wcgk;мужской род;мужской род;единственный выбор;r1s987zw3e;Глядя на то, что происходит сегодня, у меня руки развязаны.;Прочитав вторично рукопись, я думаю, она нуждается в серьёзной доработке.;;;;;единственный выбор;r1s987zw3e;средний род;женский род;текстовый ввод;r1s987zw3e;тремястами семьюдесятью пятью голосами против сорока четырех голосов;Предложение принято тремястами семьюдесятью пятью голосами против сорока четырех голосов., Предложение принято тремястами семьюдесятью пятью голосами против сорока четырёх голосов.;;;;;текстовый ввод;r1s987zw3e;посмотрело;просмотрело;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;Выяснив, что объём производства уменьшился, нужно ответить на вопрос о причине этого.;Выяснив, что объём производства уменьшился, нужно ответить на вопрос о причине этого.;текстовый ввод;lcnwu5wcgk;на школьников;на школьников;текстовый ввод;lcnwu5wcgk;учителя, бухгалтеры, инженеры, кондукторы;учителя, бухгалтеры, инженеры, кондукторы, учителя,бухгалтеры,инженеры,кондукторы;текстовый ввод;lcnwu5wcgk;необходимость;необходимость;текстовый ввод;lcnwu5wcgk;с семьюстами девяноста восемью;семьюстами девяноста восемью, с семьюстами девяноста восемью, с семьюстами девяноста восьмью, семьюстами девяноста восмью;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20251021004;06.11.2025 09:58;Пройден;15 / 15 (100%);текстовый ввод;lcnwu5wcgk;безопасностью;безопасностью;;;;;;;;;текстовый ввод;lcnwu5wcgk;ход;ход;текстовый ввод;lcnwu5wcgk;опубликовал;опубликовал;текстовый ввод;lcnwu5wcgk;девятисот шестидесяти четырех;девятисот шестидесяти четырёх, От девятисот шестидесяти четырёх, девятисот шестидесяти четырех, От девятисот шестидесяти четырех;текстовый ввод;lcnwu5wcgk;с этим;с этим;;;;;;;;;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;Прочитав вторично рукопись, я думаю, она нуждается в серьёзной доработке.;Прочитав вторично рукопись, я думаю, она нуждается в серьёзной доработке.;текстовый ввод;lcnwu5wcgk;действовало;действовало;единственный выбор;lcnwu5wcgk;женский род;женский род;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;намотчица;намотчица;текстовый ввод;lcnwu5wcgk;лекторы;лекторы;текстовый ввод;lcnwu5wcgk;в своем;в своем;единственный выбор;lcnwu5wcgk;Выяснив, что объём производства уменьшился, нужно ответить на вопрос о причине этого.;Выяснив, что объём производства уменьшился, нужно ответить на вопрос о причине этого.;;;;;;;;;текстовый ввод;lcnwu5wcgk;необходимость;необходимость;;;;;текстовый ввод;lcnwu5wcgk;в ста шестидесяти трех километрах;В ста шестидесяти трех километрах, В ста шестидесяти трёх километрах;единственный выбор;lcnwu5wcgk;Глава администрации распределяет и управляет имуществом и финансами.;Глава администрации распределяет и управляет имуществом и финансами.;;;;;;;;;;;;;;;;;;;;
20251022001;30.10.2025 10:22;Не пройден;0 / 15 (0%);текстовый ввод;r1s987zw3e;;безопасностью;;;;;текстовый ввод;r1s987zw3e;;того;;;;;текстовый ввод;r1s987zw3e;;опубликовал;текстовый ввод;r1s987zw3e;;девятисот шестидесяти четырёх, От девятисот шестидесяти четырёх, девятисот шестидесяти четырех, От девятисот шестидесяти четырех;;;;;текстовый ввод;r1s987zw3e;;привлекла;текстовый ввод;r1s987zw3e;;секторы;;;;;единственный выбор;r1s987zw3e;;лаборант;;;;;;;;;;;;;единственный выбор;r1s987zw3e;;женский род;;;;;единственный выбор;r1s987zw3e;;женский род;текстовый ввод;r1s987zw3e;;просмотрело;единственный выбор;r1s987zw3e;;намотчица;текстовый ввод;r1s987zw3e;;лекторы;;;;;единственный выбор;r1s987zw3e;;Выяснив, что объём производства уменьшился, нужно ответить на вопрос о причине этого.;;;;;;;;;;;;;;;;;;;;;;;;;текстовый ввод;r1s987zw3e;;в выборах;единственный выбор;r1s987zw3e;;Рассмотрев функциональные характеристики структур муниципалитета, автор предлагает следующее.;;;;;;;;;;;;
20251024001;15.11.2025 18:52;Пройден;11 / 15 (73.3%);текстовый ввод;lcnwu5wcgk;безопасностью;безопасностью;текстовый ввод;lcnwu5wcgk;трёмстам сорока пяти;тремстам сорока пяти, К тремстам сорока пяти, трёмстам сорока пяти, К трёмстам сорока пяти;;;;;текстовый ввод;lcnwu5wcgk;ход;ход;;;;;текстовый ввод;lcnwu5wcgk;девятисот шестидесяти четырёх;девятисот шестидесяти четырёх, От девятисот шестидесяти четырёх, девятисот шестидесяти четырех, От девятисот шестидесяти четырех;текстовый ввод;lcnwu5wcgk;С этим;с этим;текстовый ввод;r1s987zw3e;привлекли;привлекла;;;;;текстовый ввод;lcnwu5wcgk;о возможности;о возможности;единственный выбор;lcnwu5wcgk;лаборант;лаборант;;;;;;;;;текстовый ввод;lcnwu5wcgk;действовало;действовало;;;;;текстовый ввод;r1s987zw3e;голосами;Предложение принято тремястами семьюдесятью пятью голосами против сорока четырех голосов., Предложение принято тремястами семьюдесятью пятью голосами против сорока четырёх голосов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;текстовый ввод;r1s987zw3e;врачи,учителя, бухгалтеры, инженеры,кондукторы;учителя, бухгалтеры, инженеры, кондукторы, учителя,бухгалтеры,инженеры,кондукторы;текстовый ввод;lcnwu5wcgk;необходимость;необходимость;;;;;;;;;;;;;текстовый ввод;lcnwu5wcgk;в выборах;в выборах;;;;;текстовый ввод;r1s987zw3e;прожектора;прожекторы;текстовый ввод;lcnwu5wcgk;был;был;;;;
20251021003;24.11.2025 16:38;Пройден;11 / 15 (73.3%);;;;;текстовый ввод;r1s987zw3e;трехстам сорока пяти;тремстам сорока пяти, К тремстам сорока пяти, трёмстам сорока пяти, К трёмстам сорока пяти;;;;;;;;;;;;;;;;;;;;;текстовый ввод;r1s987zw3e;привлекло;привлекла;текстовый ввод;lcnwu5wcgk;секторы;секторы;текстовый ввод;lcnwu5wcgk;о возможности;о возможности;единственный выбор;r1s987zw3e;инженер;лаборант;;;;;;;;;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;женский род;женский род;;;;;;;;;;;;;текстовый ввод;lcnwu5wcgk;в своем;в своем;;;;;текстовый ввод;lcnwu5wcgk;на школьников;на школьников;текстовый ввод;lcnwu5wcgk;учителя, бухгалтеры, инженеры, кондукторы;учителя, бухгалтеры, инженеры, кондукторы, учителя,бухгалтеры,инженеры,кондукторы;текстовый ввод;lcnwu5wcgk;необходимость;необходимость;текстовый ввод;r1s987zw3e;семистами девяноста восьмью;семьюстами девяноста восемью, с семьюстами девяноста восемью, с семьюстами девяноста восьмью, семьюстами девяноста восмью;текстовый ввод;lcnwu5wcgk;в ста шестидесяти трех километрах;В ста шестидесяти трех километрах, В ста шестидесяти трёх километрах;;;;;текстовый ввод;lcnwu5wcgk;в выборах;в выборах;;;;;текстовый ввод;lcnwu5wcgk;прожекторы;прожекторы;текстовый ввод;lcnwu5wcgk;был;был;;;;
20251021008;21.11.2025 17:54;Пройден;12 / 15 (80%);;;;;текстовый ввод;lcnwu5wcgk;к трёмстам сорока пяти;тремстам сорока пяти, К тремстам сорока пяти, трёмстам сорока пяти, К трёмстам сорока пяти;текстовый ввод;lcnwu5wcgk;того;того;;;;;текстовый ввод;lcnwu5wcgk;опубликовал;опубликовал;;;;;текстовый ввод;r1s987zw3e;об этом;с этим;;;;;;;;;;;;;;;;;единственный выбор;lcnwu5wcgk;мужской род;мужской род;;;;;текстовый ввод;lcnwu5wcgk;действовало;действовало;;;;;;;;;единственный выбор;lcnwu5wcgk;женский род;женский род;;;;;единственный выбор;lcnwu5wcgk;намотчица;намотчица;текстовый ввод;lcnwu5wcgk;лекторы;лекторы;;;;;единственный выбор;r1s987zw3e;Применяя ту или иную форму организации труда, в каждом отдельном случае учитываются местные особенности.;Выяснив, что объём производства уменьшился, нужно ответить на вопрос о причине этого.;текстовый ввод;lcnwu5wcgk;на школьников;на школьников;;;;;текстовый ввод;lcnwu5wcgk;необходимость;необходимость;;;;;текстовый ввод;r1s987zw3e;в ста шестедесяти трёх километрах;В ста шестидесяти трех километрах, В ста шестидесяти трёх километрах;единственный выбор;lcnwu5wcgk;Глава администрации распределяет и управляет имуществом и финансами.;Глава администрации распределяет и управляет имуществом и финансами.;текстовый ввод;lcnwu5wcgk;в выборах;в выборах;;;;;;;;;;;;;;;;
20251021003;24.11.2025 16:58;Не пройден;0 / 15 (0%);;;;;;;;;;;;;текстовый ввод;r1s987zw3e;;ход;текстовый ввод;r1s987zw3e;;опубликовал;;;;;;;;;текстовый ввод;r1s987zw3e;;привлекла;текстовый ввод;r1s987zw3e;;секторы;;;;;;;;;;;;;;;;;;;;;единственный выбор;r1s987zw3e;;женский род;текстовый ввод;r1s987zw3e;;Предложение принято тремястами семьюдесятью пятью голосами против сорока четырех голосов., Предложение принято тремястами семьюдесятью пятью голосами против сорока четырёх голосов.;единственный выбор;r1s987zw3e;;женский род;;;;;;;;;текстовый ввод;r1s987zw3e;;лекторы;;;;;единственный выбор;r1s987zw3e;;Выяснив, что объём производства уменьшился, нужно ответить на вопрос о причине этого.;;;;;текстовый ввод;r1s987zw3e;;учителя, бухгалтеры, инженеры, кондукторы, учителя,бухгалтеры,инженеры,кондукторы;;;;;;;;;;;;;единственный выбор;r1s987zw3e;;Глава администрации распределяет и управляет имуществом и финансами.;текстовый ввод;r1s987zw3e;;в выборах;единственный выбор;r1s987zw3e;;Рассмотрев функциональные характеристики структур муниципалитета, автор предлагает следующее.;текстовый ввод;r1s987zw3e;;прожекторы;;;;;текстовый ввод;r1s987zw3e;;к предоставлению
